,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1241,OCN,OCEANA METALS LIMITED,Materials,01/07/2022,58273734,58273734,0.1891785735722263,1009891818903,5.770294689910463e-05,1.0916161185286533e-05,1.0750260251119568
1242,OCT,OCTAVA MINERALS LIMITED,Materials,16/09/2022,8103679,8103679,0.656862208806528,1009891818903,8.024304037637082e-06,5.270862074297435e-06,1.0750260251119568
1243,OD6,OD6 METALS LIMITED,Materials,22/06/2022,14370916,14370916,0.5968566336279659,1009891818903,1.4230153894711691e-05,8.493361749605509e-06,1.0750260251119568
1244,ODA,ORCODA LIMITED,Software & Services,15/09/1986,9375711,9375711,0.2623981825721539,88152131966,0.00010635830116526486,2.79082249272273e-05,1.2989843852591967
1245,ODE,ODESSA MINERALS LIMITED,Materials,03/07/1986,37040183,37040183,0.9998572267136556,1009891818903,3.6677377028596076e-05,3.667214047894321e-05,1.0750260251119568
1246,ODY,ODYSSEY GOLD LTD,Materials,30/11/2005,39238267,39238267,0.49517308627807893,1009891818903,3.885393095135949e-05,1.9239420903220053e-05,1.0750260251119568
1247,OEC,ORBITAL CORPORATION LIMITED,Capital Goods,24/01/1989,22383179,22383179,0.4340126363951053,92779037735,0.0002412525452563102,0.00010470665320372064,0.9099567935722183
1248,OEL,OTTO ENERGY LIMITED,Energy,22/12/2004,19180039,19180039,0.5254356136731502,126672735205,0.0001514141063501953,7.95583638888865e-05,1.0282868425662293
1249,OEQ,ORION EQUITIES LIMITED,Financial Services,19/11/1970,2895107,2895107,-0.36464606041757625,225859949849,1.2818151256721437e-05,-4.674088357600076e-06,1.3141430087693993
1250,OFX,OFX GROUP LIMITED,Financial Services,11/10/2013,112379198,112379198,0.6001187029443463,225859949849,0.0004975614227982065,0.0002985959156848032,1.3141430087693993
1251,OIL,OPTISCAN IMAGING LIMITED,Health Care Equipment & Services,08/08/1997,99196780,99196780,0.419843405868165,195869793311,0.0005064424601832116,0.0002126265273595721,0.7240078018435547
1252,OKJ,OAKAJEE CORPORATION LIMITED,Materials,11/06/2008,7315682,7315682,0.17318472960270345,1009891818903,7.24402541249091e-06,1.2545545822973505e-06,1.0750260251119568
1253,OLH,OLDFIELDS HOLDINGS LIMITED,Capital Goods,15/06/1960,2982828,2982828,0.011616962875365447,92779037735,3.214980530968319e-05,3.734830947328165e-07,0.9099567935722183
1254,OLI,OLIVER'S REAL FOOD LIMITED,Consumer Services,21/06/2017,4866587,4866587,0.5854923610928693,83496805459,5.828470889691311e-05,3.412525182766422e-05,0.9363588553089106
1255,OLL,OPENLEARNING LIMITED,Software & Services,12/12/2019,27370226,27370226,0.7698176141093462,88152131966,0.00031048853146917204,0.0002390195405039127,1.2989843852591967
1256,OLY,OLYMPIO METALS LIMITED,Materials,12/09/2017,7028709,7028709,0.5685079402555212,1009891818903,6.959863292718788e-06,3.956737545003568e-06,1.0750260251119568
